Total Styles 34   
-----Photo_Date-----     
20-May-2013 2    
21-May-2013 32    
-----Product_Type-----     
blouses shirts 12 12  
dresses 4 4   
jewelry 1 1   
sunglasses 7 7   
sweaters 3 3   
tops & tees 7 7 
-----Brand-----     
BCBGMAXAZRIA 7    
BCBGeneration 3    
Chelsea Flower 1   
EDGE OF EMBER 1  
Love Sam 6   
Michael Kors 7   
Splendid 1    
The Cue 3   
Zoa 5    
-----Event_ID-----     
-----Sample_Status-----     
Scanned In at Bluefly 34 
-----Production_Status-----     
Production Incomplete 34   
-----Copy_Ready_DT-----     
13-MAY-16 11    
13-MAY-21 16    
-----Sample_Status_DT-----     
13-MAY-14 12    
13-MAY-15 2    
13-MAY-16 13    
13-MAY-21 7    
     
